"Slug","SourceUrl","LocalPath"
"advent-baking","https://static.wixstatic.com/media/aacaad_e7eda53d9307484ba24b6d263c335478~mv2.png/v1/fill/w_49,h_31,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/aacaad_e7eda53d9307484ba24b6d263c335478~mv2.png","assets/images/writings/inline/aacaad_e7eda53d9307484ba24b6d263c335478~mv2.png"
"the-invitation-to-keep-going","https://static.wixstatic.com/media/aacaad_9932572ebcad4197a225a75ddbcf1b04~mv2.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/aacaad_9932572ebcad4197a225a75ddbcf1b04~mv2.jpg","assets/images/writings/inline/aacaad_9932572ebcad4197a225a75ddbcf1b04~mv2.jpg"
